threshold,micro_f1,macro_f1,hamming_loss,micro_precision,micro_recall,macro_precision,macro_recall
0.1,0.1445574686288406,0.11098196106099964,0.48715894185170017,0.07810916135426757,0.9683049427534208,0.06421609648780048,0.8514180161798852
0.15,0.19541234136445082,0.1457021512093137,0.32248357401043426,0.10929812645982076,0.9212510471935214,0.09646352614371177,0.7187052570134286
0.2,0.2487494768727954,0.17304254812136236,0.22374364179175346,0.1450821768138178,0.8714046355766546,0.11843139130376702,0.6137490642155983
0.25,0.2995049504950495,0.20093280316322795,0.16125068998059153,0.18366959711593195,0.810946662943312,0.13921216259886776,0.5133753104980677
0.3,0.3435082381121937,0.2059289235378337,0.12037416237840019,0.2235893978340567,0.740854509913432,0.15460262582176693,0.4180697586797597
0.35,0.37895321614221655,0.21020146818442126,0.09289364505617777,0.264704251898664,0.6667132086009494,0.18617214209274124,0.34875240845014344
0.4,0.4047778950398158,0.20608460372342163,0.07364541229678959,0.3083162817889506,0.5890812622172578,0.19707119685103247,0.2877156634052588
0.45,0.4143990929705215,0.19812557450509743,0.06131182374482885,0.3488261118534071,0.5103323094107791,0.2235180720795168,0.236813045657259
0.5,0.41813468058233066,0.18883716081376803,0.05195182896790774,0.39906103286384975,0.43912314995811225,0.2389630237393991,0.1966437255742783
0.55,0.4011565971693806,0.18041322393188683,0.04671094413086187,0.4408026755852843,0.36805361630829375,0.26536853311120917,0.16462701133688856
0.6,0.37410195005131713,0.1592476973104788,0.043434649193093665,0.4827814569536424,0.3053616308293773,0.2658799670101479,0.1318451113482179
